Date,Ticker,Close_Price,Volume,Log_Ret,Vol_20,Vol_200,Vol_Ratio,Ret_1M,Ret_3M,Efficiency,Vol_Shock,Ret_Lag1,Ret_Lag2,Ret_Lag3,Ret_Lag5,Ret_Lag10,Ret_Lag20,Sentiment,Phase1_Signal
2011-01-17,RELIANCE.NS,203.381103515625,14046519,-0.003600964601646322,0.013222234343465665,0.015597567891684108,0.8477112864830125,-0.055689504487194785,-0.04912064528151028,0.2708868210236691,0.7262369200443128,-0.013734421949236299,-0.015101816719785227,0.01667872844836011,-0.03044754091009065,-0.0029324020184439896,-9.450604622574817e-05,-0.7460773498696653,0.5009039168161529
2011-01-18,RELIANCE.NS,202.7594451904297,14871527,-0.003061298915696642,0.012504975337444801,0.015598028172398548,0.8017023177053205,-0.07296265400835966,-0.08024783945808445,0.38401219042023904,0.7764713798666922,-0.003600964601646322,-0.013734421949236299,-0.015101816719785227,-0.019246349668457303,0.020162648277525022,0.01539987619486936,0.19739997713654703,0.5321698171436108
2011-01-19,RELIANCE.NS,199.7634735107422,23491557,-0.014886243073159578,0.012446834653823718,0.015624202530681607,0.7966380766878554,-0.07187149449210561,-0.09396357694129964,0.3766754328797642,1.2250975952414969,-0.003061298915696642,-0.003600964601646322,-0.013734421949236299,0.01667872844836011,-0.0012075428862826899,-0.016062590342812298,0.036029333016306474,0.5208143902103631
2011-01-20,RELIANCE.NS,197.66421508789062,41343304,-0.01056432657822528,0.012425100324070192,0.015575246564471566,0.797746621386584,-0.0845290326437873,-0.11051502919500578,0.4296006967827672,2.0992929386798194,-0.014886243073159578,-0.003061298915696642,-0.003600964601646322,-0.015101816719785227,0.009068332018194014,0.003167221108386458,-0.0041408673345320795,0.5207354492567464
2011-01-21,RELIANCE.NS,201.11880493164062,19528676,0.017326095096126693,0.013316762678179028,0.015581185869047649,0.8546693935942998,-0.0687929844878925,-0.10197011641154108,0.32385623980166417,0.9839853562571814,-0.01056432657822528,-0.014886243073159578,-0.003061298915696642,-0.013734421949236299,-0.018782514659180655,0.00028313558253361055,0.11374964767134244,0.526117555221992
2011-01-24,RELIANCE.NS,198.02088928222656,22242712,-0.015523276203019156,0.013583275520741017,0.015615297569512798,0.8698697837984792,-0.07927025543826638,-0.11086707386029437,0.3546748083616172,1.1100507094178758,0.017326095096126693,-0.01056432657822528,-0.014886243073159578,-0.003600964601646322,-0.03044754091009065,-0.004208221650218152,-0.19417314495438542,0.5071315416176536
2011-01-25,RELIANCE.NS,195.3509979248047,20325555,-0.013574596672817785,0.013735212241303064,0.015637802302802605,0.8783339228455037,-0.08531343596237462,-0.11414037692818135,0.3700333993801065,1.0131654607189866,-0.015523276203019156,0.017326095096126693,-0.01056432657822528,-0.003061298915696642,-0.019246349668457303,-0.006989494063011752,0.007706747414008062,0.5166338745158038
2011-01-27,RELIANCE.NS,192.1308135986328,28105152,-0.016621469021891305,0.013938157153962226,0.015564636510313623,0.8955016164191409,-0.10099170553818038,-0.14006844630333481,0.41254383956578233,1.3843646755639556,-0.013574596672817785,-0.015523276203019156,0.017326095096126693,-0.014886243073159578,0.01667872844836011,0.0006677238554040082,0.19765940599578968,0.527227110293119
2011-01-28,RELIANCE.NS,186.07765197753906,33855702,-0.03201239051901114,0.01501434419634114,0.0157172608006487,0.9552774104073817,-0.1314688726345553,-0.16483725476378175,0.48696311229659583,1.6448948739870977,-0.016621469021891305,-0.013574596672817785,-0.015523276203019156,-0.01056432657822528,-0.015101816719785227,0.002476444816572814,0.18777960129530435,0.530230074024149
2011-01-31,RELIANCE.NS,187.3616485595703,25332450,0.006876628356923945,0.01500287364315919,0.01566143513499497,0.9579501184815276,-0.13167110274199378,-0.14471794100952529,0.49327789665602284,1.2277398417062992,-0.03201239051901114,-0.016621469021891305,-0.013574596672817785,0.017326095096126693,-0.013734421949236299,0.007109496988230441,-0.10038339491180709,0.5233840454027405
